Title,Genre,Runtime,Director,Release Date,Summary,Poster,TMDb Trailer
One Week Friends,"Comedy, Drama, Romance",02:58:00,Shôsuke Murakami,2017-02-18,Yuki falls for the standoffish new girl in school and learns that she suffers from a form of amnesia -- she loses her memories every week.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2NjMjRlYTItNjJlZS00N2RhLWIyOTEtNmQzZmNlN2RiZGE0XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=XNAh3ps_TKU
Smokin Aces,"Action, Comedy, Crime, Drama, Thriller",00:59:00,Joe Carnahan,2007-01-26,An FBI agent must protect a Vegas magician-turned-federal witness when the snitch wants one last hurrah before entering protective custody.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NzQwNDEyN15BMl5BanBnXkFtZTcwMDY4ODQ0MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=202uOuNsgow
Get Hard,"Comedy, Crime",02:55:00,Etan Cohen,2015-03-27,"Sentenced to a long stretch in San Quentin, a hedge fund manager hires an ex-con to toughen him up, unaware his new mentor has never done prison time.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3OTc1NjM0M15BMl5BanBnXkFtZTgwNjAyMzE1MzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=lEqrpuU9fYI
The Lady in the Van,"Biography, Comedy, Drama",02:55:00,Nicholas Hytner,2016-02-26,"Offering to let her park her van in his driveway, playwright Alan forms a curious but strong bond with agreeably grumpy vagabond Miss Shepherd.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTY0MjM3NTQyOF5BMl5BanBnXkFtZTgwMzcwNjUxNzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=Cx43QOphlTw
Mean Girls 2,Comedy,00:55:00,Melanie Mayron,2011-01-23,The father of a high school pariah offers to pay another students way through college if she makes friends with his outcast daughter.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMjUxNjQ3OF5BMl5BanBnXkFtZTcwMzgyMTkyNA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=V64B9WObjfg
Drowning Love,"Drama, Romance",01:50:00,Yûki Yamato,2016-11-05,"Bored with her new life in the countryside, a popular teen model falls in love with a free-spirited local boy over a summer they will never forget.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmNlMTU1YzYtNGM1NC00YzlmLWI1YjItZmQ0NzM4ZTU1ZjQ3XkEyXkFqcGdeQXVyNTI4ODg2Mjc@._V1_SX300.jpg,https://www.youtube.com/watch?v=TVlrzj-ytbw
The Good Shepherd,"Drama, History, Thriller",00:52:00,Robert De Niro,2006-12-22,"Upstanding Yale student Edward Wilson is recruited to work for the fledgling CIA during World War II, but the job soon begins to erode his ideals.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MjExMzA1Nl5BMl5BanBnXkFtZTgwMzIxNzQxMTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=S8tdWA5g4Xs
The Dead Lands,"Action, Adventure",01:51:00,Toa Fraser,2014-10-30,A Maori chieftains son seeks revenge after his tribe is massacred and aims to cross a daunting stretch of land to make an ally of a fearsome warrior.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjg5MTM0MjU0NF5BMl5BanBnXkFtZTgwMDI1MDU2MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=HaXxVKEtlIg
The Willoughbys,"Animation, Adventure, Comedy, Family",01:50:00,"Rob Lodermeier, Cory Evans, Kris Pearn",2020-04-22,Four siblings with horribly selfish parents hatch a plan to get rid of them for good and form a perfectly imperfect family of their own.,https://m.media-amazon.com/images/M/MV5BYmRjMzhiY2YtNTIwNi00ZjIyLTk0M2UtMGU2NzVlYTZkYzg1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=HnG4ag3Nkes
Dont Go Breaking My Heart,Romance,01:52:00,Johnnie To,2011-03-31,"A financial analyst succumbs to a love triangle with a hard-drinking architect and a promiscuous investment bro, who soon becomes her boss.",https://m.media-amazon.com/images/M/MV5BMjE5MTQwNzM1MV5BMl5BanBnXkFtZTgwNzgyNTA2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=4OlRFeTw_pU
Collective,Documentary,01:55:00,Alexander Nanau,2020-11-20,"In 2015, a nightclub fire in Bucharest killed 64 people, unleashing an investigation that uncovered massive health care fraud and government corruption.",https://m.media-amazon.com/images/M/MV5BNDc5MTA2ZjgtOWU4OC00YjU4LTk3ZGUtYmMwZjRhODJiYTdiXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,https://www.youtube.com/watch?v=Q-NaUTg45I4
In Bruges,"Comedy, Crime, Drama, Thriller",01:55:00,Martin McDonagh,2008-02-29,"After a job goes wrong in London, two hit men are ordered to lay low at a bed-and-breakfast in Bruges, Belgium, until their boss contacts them.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4OTYxODg4MV5BMl5BanBnXkFtZTcwMDcyNzM2MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=0RBIY7Uts6s
Autopsy of Jane Doe,"Horror, Mystery, Thriller",01:54:00,André Øvredal,2016-12-21,A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MTEzMzkzM15BMl5BanBnXkFtZTgwMjM2MTM5MDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=BNxsaFCzqxc
Pagpag: Nine Lives,Horror,00:55:00,Frasco Mortiz,2013-12-25,"After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit.",https://m.media-amazon.com/images/M/MV5BM2I4NGFlMDUtNTlhYy00NTIwLWI4ODQtZWZjYTRiNmIwNGRmXkEyXkFqcGdeQXVyMjQxMDgxMjg@._V1_SX300.jpg,https://www.youtube.com/watch?v=AkAEzQ33hGQ
Adrift,"Action, Adventure, Biography, Drama, Romance, Thriller",00:54:00,Baltasar Kormákur,2018-06-01,A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,https://m.media-amazon.com/images/M/MV5BMTkxMTI2MjE4OF5BMl5BanBnXkFtZTgwMjIyODQzNTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=n9ukI7khQpE
Devil,"Horror, Mystery, Thriller",02:53:00,John Erick Dowdle,2010-09-17,"Detective Bowden must save five people trapped in an elevator and he has to do it fast, because one of them is the devil.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDVmZGExMTEtNjk5OS00MTFkLWI0ZDMtNzg4YWFmNGY3NjRkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,https://www.youtube.com/watch?v=0JnbSnznnOI
Alone,"Drama, Horror, Thriller",00:50:00,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007-03-29,"When Pim and Ploy, twins conjoined at the stomach, are separated, the operation leaves Pim the surviving sister, haunted by Ploys vengeful ghost.",https://m.media-amazon.com/images/M/MV5BMjE1NjE4NDQ4OV5BMl5BanBnXkFtZTcwMTc0MzQ2MQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=Me2eIhSRtc4
Naked,"Comedy, Fantasy, Romance",00:51:00,Michael Tiddes,2017-08-11,"Robs madly in love and about to be married. Unfortunately, hes also naked, stuck in an elevator and caught in a time loop.",https://images-na.ssl-images-amazon.com/images/M/MV5BYmIzMzk2OTgtNWI1ZC00YTQxLWJiYWYtMzE5MTY4ODRiMTEzXkEyXkFqcGdeQXVyNzAwMjc4ODA@._V1_SX300.jpg,https://www.youtube.com/watch?v=nIgeVoVMv90
Lobster Cop,"Comedy, Crime",00:56:00,Xinyun Li,2018-06-22,"To nab a drug kingpin, four cops open a seafood restaurant as a cover. They must seize their chance when a secret recipe turns the eatery into a hit.",https://m.media-amazon.com/images/M/MV5BMDQ3NDdmMmYtYWZmYS00NzZkLWExMDQtMGFhYjAwNWM3YWJjXkEyXkFqcGdeQXVyNjc2MDYyODM@._V1_SX300.jpg,https://www.youtube.com/watch?v=Otq5XzH5p8Y
Taking Lives,"Crime, Mystery, Thriller",01:52:00,D.J. Caruso,2004-03-19,FBI profiler Illeana Scott is recruited to assist the police in their desperate search for a serial killer who assumes the identities of his victims.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDMyNzI5NTdeQTJeQWpwZ15BbWU3MDQxNDEyMzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=Uj85gr6R1as
3 Generations,Drama,00:58:00,Gaby Dellal,2016-09-29,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTIwOTMwNl5BMl5BanBnXkFtZTgwODQzNjY5MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=4ord940o470
The Notebook,"Drama, Romance",02:58:00,Nick Cassavetes,2004-06-25,Two young lovers are torn apart by war and class differences in the 1940s in this adaptation of Nicholas Sparkss best-selling novel.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_SX300.jpg,https://www.youtube.com/watch?v=FC6biTjEyZw
All Good Ones Get Away,"Horror, Thriller",01:56:00,Víctor García,2019-02-08,"When a mysterious figure blackmails an adulterous couple during a romantic getaway, their secret affair turns into a fight for survival.",https://m.media-amazon.com/images/M/MV5BMjc5OTY4MzgzMV5BMl5BanBnXkFtZTgwOTMwNTMxNzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=VkvmdLoO4Wk
The Wrestler,"Drama, Sport",02:58:00,Darren Aronofsky,2009-01-30,A retired professional wrestler returns to the ring to work his way up the circuit for one last shot at defeating his longtime rival.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjYyOTg4MF5BMl5BanBnXkFtZTcwNDc2MzQwMg@@._V1_SX300.jpg,https://www.youtube.com/watch?v=p_TDzemiYu4
Fullmetal Alchemist: The Sacred Star of Milos,"Animation, Action, Adventure, Fantasy, Sci-Fi",00:59:00,Kazuya Murata,2012-01-20,"In this sequel to Fullmetal Alchemist, the Elric brothers travel to the land of Milos, where people are rebelling against their masters.",https://images-na.ssl-images-amazon.com/images/M/MV5BODE0ZjNiOGYtYjAwMS00YWNkLWIwYzQtMzg3MzQ0NWU1NWFiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=H2gf7PUw7Gc
Limitless,"Sci-Fi, Thriller",02:51:00,Neil Burger,2011-03-18,"With his writing career dragging, Eddie Morra finds his life turning around after he takes a drug that provides astonishing mental focus.",https://images-na.ssl-images-amazon.com/images/M/MV5BYmViZGM0MGItZTdiYi00ZDU4LWIxNDYtNTc1NWQ5Njc2N2YwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,https://www.youtube.com/watch?v=6d1Uc68wt3c
881,"Comedy, Drama, Musical",02:50:00,Royston Tan,2007-08-09,"Two friends realize their dreams to become Singapores most popular getai duo, known as the Papayas — but a pair of rivals soon enters the scene.",https://m.media-amazon.com/images/M/MV5BMjA2ODg4NDU3MF5BMl5BanBnXkFtZTgwMDM5NTEzMjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=WRf46RzvZKQ
Rising High,"Comedy, Drama",00:57:00,Cüneyt Kaya,2020-04-17,"Ready to do anything to get rich, a young man upends the Berlin property market with his shady pal, till the good times threaten to destroy it all.",https://m.media-amazon.com/images/M/MV5BYTVjNDE3NjktYmMyNC00MTRmLTlmZWItMzk3NzViY2Y4MmFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=cJl2EvFO_fE
Brasserie Valentine,Romance,01:56:00,Sanne Vogel,2016-01-28,"Its February 14. As couples enjoy romantic dinners at her restaurant, Valentijn encounters an old flame who wants her to run away with him.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMjYwODMxMV5BMl5BanBnXkFtZTgwOTM5NjI0NzE@._V1_SX300.jpg,https://www.youtube.com/watch?v=x-YtgwGAJTw
Chelsea Handler: Uganda Be Kidding Me Live,Comedy,01:52:00,James Yukich,2014-10-10,"In her first Netflix standup comedy special, Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence).",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzOTI0NDg2N15BMl5BanBnXkFtZTgwMjYzODY3MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=-rAACNt12Rc
Armour of God,"Action, Adventure, Comedy",00:56:00,"Eric Tsang, Jackie Chan",1987-01-21,Kung fu virtuoso Jackie Chan portrays a professional fortune hunter whos out to get rich by recovering exotic artifacts.,http://ia.media-imdb.com/images/M/MV5BMTIyMjgwMTE3OF5BMl5BanBnXkFtZTcwNjQ1MzMyMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=eAD4HQ8Su9s
Happy Death Day,"Comedy, Horror, Mystery, Thriller",01:59:00,Christopher Landon,2017-10-13,"A college student finds herself trapped in a time loop, reliving the day of her murder over and over again.",https://m.media-amazon.com/images/M/MV5BYzZhY2E5NzQtMWVmNC00YmEzLTgxZDMtNjE2YmQ4ZTZiZGZjXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=1NTaDm3atkc
The Golden Holiday,"Action, Comedy, Crime",00:57:00,Bong-han Kim,2020-09-29,"During a family trip to the Philippines, a countryside detective gets caught in the crosshairs of local police, international criminals and a gold rush.",https://m.media-amazon.com/images/M/MV5BNzY1ZTA4NmItYjdhMy00NWIyLWE5ZjgtYmNjNDdmOWI0MzU1XkEyXkFqcGdeQXVyMTEwODEzNTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=Q_C9mWxFaY4
The Raid,"Action, Thriller",02:57:00,Gareth Evans,2012-04-13,"Trapped in a tenement building during a raid, a SWAT team must fight its way out against the forces of a drug lord they were trying to assassinate.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxODQyNTY0MV5BMl5BanBnXkFtZTcwMjMwMjU0Nw@@._V1_SX300.jpg,https://www.youtube.com/watch?v=m6Q7KnXpNOg
Jupiter Ascending,"Action, Adventure, Sci-Fi",02:50:00,"Lilly Wachowski, Lana Wachowski",2015-02-06,A young impoverished woman learns shes been predestined to change the fate of the universe after a genetically engineered hunter tracks her down.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,https://www.youtube.com/watch?v=TLyk00gFPdQ
Sunrise,"Drama, Romance",01:54:00,F.W. Murnau,1927-11-04,"While investigating a child kidnapping, a Mumbai police inspector is haunted by a shadowy dream figure and memories of his own abducted daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ1YmJkODYtMTJmYi00ZjczLWEyYWYtNWMzYTA3OWU2NmI2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,https://www.youtube.com/watch?v=PCgbFay53BA
Sideways,"Comedy, Drama, Romance",01:57:00,Alexander Payne,2005-01-21,Two men go on an excursion to California wine country and end up inducing joint midlife crises in this critically acclaimed comedy-drama.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1_SX300.jpg,https://www.youtube.com/watch?v=Pqbz8yojxBY
Labios Rojos,"Comedy, Family",01:56:00,Rafa Lara,2011-10-07,"When the otherwise happy and successful Ricardo develops a case of erectile dysfunction, it creates a crisis in his marriage to Blanca.",http://ia.media-imdb.com/images/M/MV5BMTU1MTY3NTY3OF5BMl5BanBnXkFtZTgwNjg0MjA2MDE@._V1_SX300.jpg,https://www.youtube.com/watch?v=NwBurZ_f-vY
My Octopus Teacher,Documentary,02:50:00,"Pippa Ehrlich, James Reed",2020-09-07,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",https://m.media-amazon.com/images/M/MV5BZWZlODNlYWUtZjY2Ni00YzdiLTkwNmEtZmY5MmY1MDI0YWQyXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,https://www.youtube.com/watch?v=zEIDwdlrjyo
[REC],"Horror, Mystery, Thriller",00:58:00,"Jaume Balagueró, Paco Plaza",2007-11-23,"Trapped in a quarantined building with a horde of ravenous zombies, a television reporter and her cameraman record the brutal events that transpire.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTJmNTZlZWUtZTQ2Yi00YTFjLWFiNzctYzFlNmZmZGMzYTlmXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=YQUkX_XowqI
Orange,"Comedy, Drama, Romance",01:51:00,Kôjirô Hashimoto,2015-12-12,"Naho Takemiyas high school life is disrupted by letters from her 25-year-old self in the future, begging her to act to save her classmate Kakeru.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDIyZTFlNzgtNTMxNy00NDc1LWJjMDUtNjAzZTBiNjAxZWY2XkEyXkFqcGdeQXVyNTM5NjI0NTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=h3QXIv1xvNc
Rampage,"Action, Adventure, Sci-Fi",01:54:00,Brad Peyton,2018-04-13,"When a strange chemical mutates three animals into overgrown, aggressive beasts, a primatologist must find an antidote before they destroy the city.",https://m.media-amazon.com/images/M/MV5BNDA1NjA3ODU3OV5BMl5BanBnXkFtZTgwOTg3MTIwNTM@._V1_SX300.jpg,https://www.youtube.com/watch?v=coOKvrsmQiI
Jackass: Number Two: Unrated Version,"Documentary, Action, Comedy",02:53:00,Jeff Tremaine,2006-09-22,"A shamelessly immature crew performs more ill-advised stunts and painful pranks, including riding a water hose and using themselves as shark bait.",https://ia.media-imdb.com/images/M/MV5BNzgzNDYyOTcxNl5BMl5BanBnXkFtZTcwODczNzUzMQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=qBZPCE0jr6M
Underverden,"Action, Crime, Drama, Thriller",00:58:00,Fenar Ahmad,2017-01-19,"When his younger brother is killed in a gang-related activity, Zaid seeks revenge, leaving behind a successful medical career and a happy family life.",https://m.media-amazon.com/images/M/MV5BMWQ4NTBhMWItNmNmNi00M2I1LWEzZWUtZWRmYTA2MzE1MjcxXkEyXkFqcGdeQXVyMzcwNjA5Mzg@._V1_SX300.jpg,https://www.youtube.com/watch?v=333cCxNembY
Kannum Kannum Kollaiyadithaal,"Drama, Romance, Thriller",02:51:00,Desingh Periyasamy,2020-02-28,"A carefree racing enthusiast’s womanizing ways end when he meets the girl of his dreams, but their newfound peace is disrupted by a dangerous killer.",https://m.media-amazon.com/images/M/MV5BMTkwNDc0OTItMDU4Zi00M2FhLWE4NTItMmJlN2E0ZjY4YTNmXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_SX300.jpg,https://www.youtube.com/watch?v=hPybzXeEWSI
A United Kingdom,"Biography, Drama, History, Romance",00:57:00,Amma Asante,2017-02-10,"An English womans marriage to Botswanas royal heir causes diplomatic uproar, but the couple fights against all odds to follow their hearts.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDUyNzE1MTAxNF5BMl5BanBnXkFtZTgwODU1Mzk5OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=LKPDNKdpys8
